FeatureName,Region,NGR,East,North,Lat,Long,LatLong,TreatmentOfRemains,MNIWithinDeposit,SexOfIndsWithin Deposit,AgeOfFindsWithinDeposit,ArtefactsInDepositList,SexSingleDeposits,AgeSingleDeposits,ArtefactsSingleDeposits,SexGroupDeposits,AgeGroupDeposits,ArtefactsGroupDeposits,SitesWithUnknownSex,TerminusPostQuemBC,TerminusAnteQuemBC,MedianBC,DecadeOfExcavation,generated
Allerwash cist,Northumberland,NY871673,387100,567300,55.000103,-2.2031893,"55.000103,-2.2031893",Uncremated remains,1,Male,Adult,Bronze dagger,Male,Adult,Bronze dagger,,,,,2153,2030,2091,1970,0
Altonside cist,Northumberland,NY856649,385600,564900,54.978495,-2.2265159,"54.978495,-2.2265159",Crouched burial,N/a,N/a,N/a,Beaker,,,,,,,N/a,2300,2100,2200,1970,1
Alwinton cairn cremation deposit 1,Northumberland,NT9305,393000,605000,55.338991,-2.1119062,"55.338991,-2.1119062",Cremation,1,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000,,2000,1877,2
Alwinton cairn cremation deposit 2,Northumberland,NT9305,393000,605000,55.338991,-2.1119062,"55.338991,-2.1119062",Cremation,1,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000,,2000,1877,3
Alwinton cairn cremation deposit 3,Northumberland,NT9305,393000,605000,55.338991,-2.1119062,"55.338991,-2.1119062",Cremation,1,Indet.,Indet.,,Indet.,Indet.,,,,,Indet.,2000,,2000,1877,4
Amble cist,Northumberland,NU273052,427300,605200,55.340088,-1.5711391,"55.340088,-1.5711391",Crouched burial,1,Indet.,Indet.,Beaker,Indet.,Indet.,Beaker,,,,Indet.,2300,2100,2200,1850,5
Ancroft cist,Northumberland,NU041456,404100,645600,55.703832,-1.9363260,"55.703832,-1.9363260",Crouched burial,1,Male,Adult,Beaker,Male,Adult,Beaker,,,,,2300,2100,2200,1890,6
Angerton cist,Northumberland,NZ100848,410000,584800,55.157430,-1.8446026,"55.157430,-1.8446026",Crouched burial,1,Possible Female,Adult,"Bronze dagger,Flint knife,Flint hammer,Shale Beads",Possible Female,Adult,"Bronze dagger, Flint knife, Flint hammer, Shale Beads",,,,,2200,1750,1975,1840,7
Batter Law round barrow cist,County Durham,NZ40604599,440600,545990,54.807141,-1.3698780,"54.807141,-1.3698780",Crouched burial,1,Male,Adult,Flint knife,Male,Adult,Flint knife,,,,,2200,1750,1975,1910,8
Bedlington cist 1,Northumberland,NZ2626081490,426260,581490,55.127096,-1.5897326,"55.127096,-1.5897326",Crouched burial,1,Possible Female,Adult,Food Vessel,Possible Female,Adult,Food Vessel,,,,,2300,1750,2025,1930,9
Bedlington cist 2,Northumberland,NZ2626081490,426260,581490,55.127096,-1.5897326,"55.127096,-1.5897326",Crouched burial,Indet.,Indet.,Indet.,Beaker,,,,,,,Indet.,2300,2100,2200,1930,10
Bedlington cist 3,Northumberland,NZ2626081490,426260,581490,55.127096,-1.5897326,"55.127096,-1.5897326",Cremation,N/a,N/a,N/a,Flint knife,,,,,,,N/a,2300,1750,2025,1930,11
Bedlington cist 4,Northumberland,NZ2626081490,426260,581490,55.127096,-1.5897326,"55.127096,-1.5897326",Cremation,Indet.,N/a,N/a,Food Vessel,,,,,,,N/a,2150,1750,1950,1930,12
Bedlington cist 5,Northumberland,NZ2626081490,426260,581490,55.127096,-1.5897326,"55.127096,-1.5897326",Crouched burial,1,N/a,Adult,,N/a,Adult,,,,,N/a,2300,1750,2025,1930,13
Benthall cist 1,Northumberland,NU237289,423700,628900,55.553225,-1.6258869,"55.553225,-1.6258869",Crouched burial,1,Possible Male,Adult,,Possible Male,Adult,,,,,,2300,1750,2025,1930,14
Benthall cist 2,Northumberland,NU237289,423700,628900,55.553225,-1.6258869,"55.553225,-1.6258869",Crouched burial,1,Possible Female,Adult,Food Vessel,Possible Female,Adult,Food Vessel,,,,,2150,1750,1950,1930,15
Bewes Hill (Stargate),Tyne and Wear,NZ17076301,417070,563010,54.961434,-1.7349445,"54.961434,-1.7349445",Uncremated remains,1,Possible Male,Adult,Flint knife,Possible Male,Adult,Flint knife,,,,,2200,1750,1975,1930,16
Birkside Fell cairn pit,Northumberland,NY934512,393400,551200,54.855550,-2.1043302,"54.855550,-2.1043302",Multiple cremation,2,Multiple,Adult,"Collared urn,Flint flakes",,,,Male + Indet.,Adult,"Collared urn, Flint flakes",,2000,1700,1850,1990,17
Blawaerie cairn 1 pyre pit,Northumberland,NU08172229,408170,622290,55.494336,-1.8722454,"55.494336,-1.8722454",Unclear,1,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000,,2000,1980,18
Blawaerie cairn 1 southern pit ,Northumberland,NU08172229,408170,622290,55.494336,-1.8722454,"55.494336,-1.8722454",Multiple cremation,2,Multiple,Adult,Food Vessel,,,,Possible Male + Indet.,Adult,Food Vessel,,2050,1700,1875,1980,19
Blawaerie cairn 1 stone-lined pit,Northumberland,NU08172229,408170,622290,55.494336,-1.8722454,"55.494336,-1.8722454",Cremation,1,Indet.,Adolescent,,Indet.,Adolescent,,,,,Indet.,2000,,2000,1980,20
Blawearie cairn 1 cist 1 ,Northumberland,NU08172229,408170,622290,55.494336,-1.8722454,"55.494336,-1.8722454",Unclear,N/a,N/a,N/a,Food Vessel,,,,,,,N/a,2300,1750,2025,1860,21
Blawearie cairn 1 cist A (Gw cist 2),Northumberland,NU08172229,408170,622290,55.494336,-1.8722454,"55.494336,-1.8722454",Crouched burial,N/a,N/a,N/a,Food Vessel,,,,,,,N/a,2150,1750,1950,1860,22
Blawearie cairn 1 cist B (Gw cist 3),Northumberland,NU08172229,408170,622290,55.494336,-1.8722454,"55.494336,-1.8722454",Crouched burial,N/a,N/a,N/a,"Flint knife,Jet necklace",,,,,,,N/a,2200,1800,2000,1860,23
Blawearie cairn 1 cist C (Gw cist 4),Northumberland,NU08172229,408170,622290,55.494336,-1.8722454,"55.494336,-1.8722454",Crouched burial,N/a,N/a,N/a,,,,,,,,N/a,2300,1750,2025,1860,24
Blawearie cairn 1 cist D,Northumberland,NU08172229,408170,622290,55.494336,-1.8722454,"55.494336,-1.8722454",Crouched burial,N/a,N/a,N/a,,,,,,,,N/a,2300,1750,2025,1980,25
Blawearie cairn 1 cist E,Northumberland,NU08172229,408170,622290,55.494336,-1.8722454,"55.494336,-1.8722454",Multiple cremation,2,Indet.,Multiple age groups,Flint flakes,,,,Indet.,,Flint flakes,Indet.,2100,1750,1925,1980,26
Blawearie satellite cairn 1 pit,Northumberland,NU0822,408000,622000,55.491733,-1.8749443,"55.491733,-1.8749443",Unclear,N/a,Indet.,Indet.,,,,,,,,Indet.,2000,,2000,1980,27
Bluebell Inn cist,Northumberland,NU215315,421500,631500,55.576688,-1.6605574,"55.576688,-1.6605574",Crouched burial,1,Indet.,Child,Beaker,Indet.,Child,Beaker,,,,Indet.,2300,2100,2200,1860,28
Bowchester cist,Northumberland,NT9728,397000,628000,55.545699,-2.0491018,"55.545699,-2.0491018",Crouched burial,1,Possible Male,Adult,Bronze dagger,Possible Male,Adult,Bronze dagger,,,,,2200,1750,1975,1930,29
Bowsden West Farm cist,Northumberland,NT984414,398400,641400,55.666108,-2.0269979,"55.666108,-2.0269979",Crouched burial,N/a,N/a,N/a,Food Vessel,,,,,,,N/a,2150,1750,1950,1960,30
Brandon cist/barrow,County Durham,NZ20724003,420720,540030,54.754794,-1.6795822,"54.754794,-1.6795822",Crouched burial,1,N/a,N/a,Beaker,N/a,N/a,Beaker,,,,N/a,2300,2100,2200,1900,31
Broomhill cist,Northumberland,NZ076606,407600,560600,54.940010,-1.8829023,"54.940010,-1.8829023",Cremation,1,Indet.,Child,Food Vessel,Indet.,Child,Food Vessel,,,,Indet.,2150,1750,1950,1970,32
Broomhill kerbed cairn cist 1,Northumberland,NT965370,396500,637000,55.626563,-2.0571437,"55.626563,-2.0571437",Crouched burial,1,Indet.,Child,Food Vessel,Indet.,Child,Food Vessel,,,,Indet.,2150,1750,1950,1850,33
Broomhill kerbed cairn cremation deposit 1,Northumberland,NT965370,396500,637000,55.626563,-2.0571437,"55.626563,-2.0571437",Cremation,1,Indet.,Adolescent,"Collared urn,Flint flakes,Bone pin",Indet.,Adolescent,"Collared urn, Flint flakes, Bone pin",,,,Indet.,2000,1500,1750,1850,34
Broomhill kerbed cairn cremation deposit 2,Northumberland,NT965370,396500,637000,55.626563,-2.0571437,"55.626563,-2.0571437",Cremation,N/a,N/a,N/a,"Cinerary urn,Flint knife",,,,,,,N/a,2000,1500,1750,1850,35
Broomhill kerbed cairn cremation deposit 3,Northumberland,NT965370,396500,637000,55.626563,-2.0571437,"55.626563,-2.0571437",Cremation,N/a,N/a,N/a,Urn,,,,,,,N/a,2000,1500,1750,1850,36
Broomhill kerbed cairn cremation deposit 4,Northumberland,NT965370,396500,637000,55.626563,-2.0571437,"55.626563,-2.0571437",Cremation,N/a,N/a,N/a,Urn,,,,,,,N/a,2000,1500,1750,1850,37
Broomhill kerbed cairn cremation deposit 5,Northumberland,NT965370,396500,637000,55.626563,-2.0571437,"55.626563,-2.0571437",Cremation,N/a,N/a,N/a,Urn,,,,,,,N/a,2000,1500,1750,1850,38
Broomhill kerbed cairn cremation deposit 6,Northumberland,NT965370,396500,637000,55.626563,-2.0571437,"55.626563,-2.0571437",Cremation,N/a,N/a,N/a,Urn,,,,,,,N/a,2000,1500,1750,1850,39
Broomhill kerbed cairn cremation deposit 7,Northumberland,NT965370,396500,637000,55.626563,-2.0571437,"55.626563,-2.0571437",Cremation,N/a,N/a,N/a,Urn,,,,,,,N/a,2000,1500,1750,1850,40
Broomhouses cist 1,Northumberland,NZ099655,409900,565500,54.984002,-1.8468347,"54.984002,-1.8468347",Crouched burial,N/a,N/a,N/a,,,,,,,,N/a,2300,1750,2025,1877,41
Broomhouses cist 2,Northumberland,NZ099655,409900,565500,54.984002,-1.8468347,"54.984002,-1.8468347",Crouched burial,N/a,N/a,N/a,,,,,,,,N/a,2300,1750,2025,1877,42
Broomhouses cist 3,Northumberland,NZ099655,409900,565500,54.984002,-1.8468347,"54.984002,-1.8468347",Cremation,1,Indet.,Adolescent,,Indet.,Adolescent,,,,,Indet.,2300,1750,2025,1877,43
Broomhouses cist 4,Northumberland,NZ099655,409900,565500,54.984002,-1.8468347,"54.984002,-1.8468347",Cremation,1,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2300,1750,2025,1877,44
Broomhouses pit 1,Northumberland,NZ099655,409900,565500,54.984002,-1.8468347,"54.984002,-1.8468347",Cremation,1,Indet.,Adult,"Food Vessel,Flint knife",Indet.,Adult,"Food Vessel, Flint knife",,,,Indet.,2000,1700,1850,1877,45
Broomhouses pit 2,Northumberland,NZ099655,409900,565500,54.984002,-1.8468347,"54.984002,-1.8468347",Cremation,1,Indet.,Adult,Urn,Indet.,Adult,Urn,,,,Indet.,2000,1700,1850,1877,46
Broomridge 2 cremation deposit ,Northumberland,NT9437,394000,637000,55.626538,-2.0968453,"55.626538,-2.0968453",Cremation,N/a,N/a,N/a,Collared urn,,,,,,,N/a,2000,1500,1750,1850,47
Broomridge 2a cremation deposit,Northumberland,NT9437,394000,637000,55.626538,-2.0968453,"55.626538,-2.0968453",Cremation,N/a,N/a,N/a,Accessory Vessel,,,,,,,N/a,2000,1500,1750,1850,48
Burgh Hill cairn 1 cist,Northumberland,NU023005,402300,600500,55.298602,-1.9653228,"55.298602,-1.9653228",Crouched burial,N/a,N/a,N/a,,,,,,,,N/a,2300,1750,2025,1877,49
Burgh Hill cairn 2 cist,Northumberland,NU0200,402000,600000,55.294110,-1.9700509,"55.294110,-1.9700509",Crouched burial,N/a,N/a,N/a,Pottery,,,,,,,N/a,2300,1750,2025,1877,50
Carham cist,Northumberland,NT821357,382100,635700,55.614562,-2.2857381,"55.614562,-2.2857381",Uncremated remains,N/a,N/a,N/a,Food Vessel,,,,,,,N/a,2150,1750,1950,,51
Cartington chamber,Northumberland,NU0305,403000,605000,55.339034,-1.9542519,"55.339034,-1.9542519",Crouched burial,1,Indet.,Indet.,"Beaker,Flint scraper,Stiched hide",Indet.,Indet.,"Beaker, Flint scraper, Stiched hide",,,,Indet.,2340,2060,2200,1910,52
Catcherside cairn cremation 2,Northumberland,NY992877,399200,587700,55.183587,-2.0141044,"55.183587,-2.0141044",Cremation,Indet.,Indet.,Indet.,Urn,,,,,,,Indet.,2000,1500,1750,1877,53
Catcherside cairn pit 1,Northumberland,NY992877,399200,587700,55.183587,-2.0141044,"55.183587,-2.0141044",Cremation,Indet.,Indet.,Indet.,Urn,,,,,,,Indet.,2000,1700,1850,1877,54
Chatton barrow 1 cist,Northumberland,NU0228,402000,628000,55.545705,-1.9698616,"55.545705,-1.9698616",Crouched burial,N/a,N/a,N/a,,,,,,,,N/a,2300,1750,2025,1877,55
Chatton barrow 2 cist,Northumberland,NU0228,402000,628000,55.545705,-1.9698616,"55.545705,-1.9698616",Cremation,N/a,Indet.,Indet.,,,,,,,,Indet.,2100,1750,1925,1877,56
Chatton barrow 3 cist,Northumberland,NU0228,402000,628000,55.545705,-1.9698616,"55.545705,-1.9698616",Cremation,1,Indet.,Adult,Flint flakes,Indet.,Adult,Flint flakes,,,,Indet.,2100,1750,1925,1877,57
Chatton Sandyford cairn 1 cremation deposit 1,Northumberland,NU10032669,410035,626693,55.533864,-1.8425698,"55.533864,-1.8425698",Cremation,Indet.,Indet.,Indet.,Food Vessel,,,,,,,Indet.,2000,1700,1850,1960,58
Chatton Sandyford cairn 1 cremation deposit 2,Northumberland,NU10032669,410000,626000,55.527638,-1.8431491,"55.527638,-1.8431491",Cremation,Indet.,Indet.,Indet.,,,,,,,,Indet.,2000,1500,1750,1960,59
Chatton Sandyford cairn 1 grave 1,Northumberland,NU10032669,410000,626000,55.527638,-1.8431491,"55.527638,-1.8431491",Uncremated remains,N/a,N/a,N/a,Beaker,,,,,,,N/a,2100,1900,2000,1960,60
Chatton Sandyford cairn 1 grave 2,Northumberland,NU10032669,410000,626000,55.527638,-1.8431491,"55.527638,-1.8431491",Uncremated remains,N/a,N/a,N/a,Beaker,,,,,,,N/a,2100,1900,2000,1960,61
Chatton Sandyford cairn 1 grave 3,Northumberland,NU10032669,410000,626000,55.527638,-1.8431491,"55.527638,-1.8431491",Uncremated remains,N/a,N/a,N/a,Beaker,,,,,,,N/a,2100,1900,2000,1960,62
Cheswick cist,Northumberland,NU0346,403000,646000,55.707434,-1.9538249,"55.707434,-1.9538249",Uncremated remains,1,Indet.,Indet.,Bronze dagger,Indet.,Indet.,Bronze dagger,,,,Indet.,2150,1900,2025,1830,63
Cheviot Walk Wood cist 1,Northumberland,NU10161960,410160,619600,55.470128,-1.8408463,"55.470128,-1.8408463",Uncremated remains,Indet.,Indet.,Indet.,Food Vessel,,,,,,,Indet.,2150,1750,1950,1980,64
Cheviot Walk Wood deposit 2,Northumberland,NU10161960,410160,619600,55.470128,-1.8408463,"55.470128,-1.8408463",Cremation,1,Indet.,Adolescent,Food Vessel,Indet.,Adolescent,Food Vessel,,,,Indet.,2150,1750,1950,1980,65
Cheviot Walk Wood deposit 3,Northumberland,NU10161960,410160,619600,55.470128,-1.8408463,"55.470128,-1.8408463",Cremation,1,Indet.,Adult,Flint flakes,Indet.,Adult,Flint flakes,,,,Indet.,2150,1750,1950,1980,66
Cheviot Walk Wood deposit 4,Northumberland,NU10161960,410160,619600,55.470128,-1.8408463,"55.470128,-1.8408463",Multiple cremation,2,Indet.,Multiple age groups,Food Vessel,,,,Indet.,Adult + Juvenile,Food Vessel,Indet.,2150,1750,1950,1980,67
Cheviot Walk Wood deposit 5,Northumberland,NU10161960,410160,619600,55.470128,-1.8408463,"55.470128,-1.8408463",Multiple cremation,2,Indet.,Multiple age groups,Flint knife,,,,Indet.,Adult + Juvenile,Flint knife,Indet.,2150,1750,1950,1980,68
Cheviot Walk Wood deposit 6,Northumberland,NU10161960,410160,619600,55.470128,-1.8408463,"55.470128,-1.8408463",Cremation,1,Indet.,Child,"Food Vessel,Flint arrowhead",Indet.,Child,"Food Vessel, Flint arrowhead",,,,Indet.,2150,1750,1950,1980,69
Cheviot Walk Wood deposit 7,Northumberland,NU10161960,410160,619600,55.470128,-1.8408463,"55.470128,-1.8408463",Cremation,1,Indet.,Adult,Food Vessel,Indet.,Adult,Food Vessel,,,,Indet.,2150,1750,1950,1980,70
Chollerton cist,Northumberland,NY9572,395000,572000,55.042482,-2.0797786,"55.042482,-2.0797786",Crouched burial,1,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2300,1750,2025,1840,71
Chollerton cremation deposit 1,Northumberland,NY9572,395000,572000,55.042482,-2.0797786,"55.042482,-2.0797786",Cremation,1,Indet.,Adult,,Indet.,Adult,,,,,Indet.,2000,1500,1750,1840,72
Chollerton cremation deposit 2,Northumberland,NY9572,395000,572000,55.042482,-2.0797786,"55.042482,-2.0797786",Cremation,1,Indet.,Adolescent,Urn,Indet.,Adolescent,Urn,,,,Indet.,2000,1500,1750,1840,73
Clara Vale cist (Ryton),Tyne and Wear,NZ13026462,413020,564620,54.976023,-1.7981215,"54.976023,-1.7981215",Crouched burial,1,Possible Male,Adult,Beaker,Possible Male,Adult,Beaker,,,,,2200,1950,2075,1910,74
Coldsmouth Hill north cairn cist,Northumberland,NT85732826,385730,628260,55.547833,-2.2277217,"55.547833,-2.2277217",Cremation,Indet.,Indet.,Indet.,Flint knife,,,,,,,Indet.,2150,1750,1950,1920,75
Coldsmouth Hill south cairn grave 1,Northumberland,NT85702817,385700,628170,55.547023,-2.2281925,"55.547023,-2.2281925",Cremation,1,Possible Female,Adult,Flint scraper,Possible Female,Adult,Flint scraper,,,,,2150,1750,1950,1920,76
Coldsmouth Hill south cairn grave 2,Northumberland,NT85702817,385700,628170,55.547023,-2.2281925,"55.547023,-2.2281925",Uncremated remains,N/a,N/a,N/a,,,,,,,,N/a,2150,1750,1950,1920,77
Copt Hill cist 1,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Crouched burial,1,Indet.,Child,,Indet.,Child,,,,,Indet.,2300,1750,2025,1870,78
Copt Hill cist 2,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",N/a,1,N/a,N/a,,N/a,N/a,,,,,N/a,,,,1870,79
Copt Hill cremation deposit 1,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Cremation,N/a,Indet.,Indet.,Flint flakes,,,,,,,Indet.,2000,,2000,1870,80
Copt Hill cremation deposit 2,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Cremation,1,Indet.,Indet.,,Indet.,Indet.,,,,,Indet.,2000,,2000,1870,81
Copt Hill cremation deposit 3,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Cremation,1,Indet.,Indet.,,Indet.,Indet.,,,,,Indet.,2000,,2000,1870,82
Copt Hill grave 1,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Uncremated remains,1,Indet.,Indet.,Flint scraper,Indet.,Indet.,Flint scraper,,,,Indet.,2150,1700,1925,1870,83
Copt Hill grave 1,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Crouched burial,1,Indet.,Indet.,,Indet.,Indet.,,,,,Indet.,2150,1700,1925,1870,84
Copt Hill grave 2,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Crouched burial,1,Possible Male,Adult,,Possible Male,Adult,,,,,,2150,1700,1925,1870,85
Copt Hill grave 3,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Crouched burial,1,Indet.,Indet.,Food Vessel,Indet.,Indet.,Food Vessel,,,,Indet.,2150,1700,1925,1870,86
Copt Hill urned cremation deposit,County Durham,NZ35344922,435340,549220,54.836563,-1.4513144,"54.836563,-1.4513144",Cremation,N/a,Indet.,Indet.,Food Vessel,,,,,,,Indet.,2000,1700,1850,1870,87
Corby's Crags rock shelter feature 1,Northumberland,NU12800965,412800,609650,55.380661,-1.7995406,"55.380661,-1.7995406",Cremation,Indet.,Indet.,Indet.,Food Vessel,,,,,,,Indet.,2000,1700,1850,1970,88
